"Elección","Lista/Pacto","Candidato Nombre","Candidato Apellido Paterno","Candidato Apellido Materno","Genero","Partido Politico","Adhiere a Candidato Transparente","Web Site","Facebook","Twitter","",""
"Presidente(a)","Chile Vamos","Sebastián","Piñera","Echenique","Masculino","Independiente","Sí","http://sebastianpinera.cl/","","@sebastianpinera","",""
"Presidente(a)","Frente Amplio","Beatriz","Sánchez","Muñoz","Femenino","Independiente","Sí","http://www.beatrizsanchez.cl/","","","",""
"Presidente(a)","Por Todo Chile","Alejandro","Navarro","Brain","Masculino","Partido País","Sí","","","","",""
"Presidente(a)","Por Todo Chile","Marco","Enríquez-Ominami","Gumucio","Masculino","Partido Progresista","Sí","http://presidentemarco.cl/","","@marcoporchile","",""
"Presidente(a)","Unión Patriótica","Eduardo","Artés","Brichetti ","Masculino","Union patriotica","Sí","","","","",""
"Presidente(a)","La fuerza de la Mayoria","Carolina","Goic","Boroevic","Femenino","Partido Demócrata Cristiano","Sí","http://www.carolinagoic.cl","","@carolinagoicb","",""
"Presidente(a)","Independiente","José Antonio","Kast","Rist","Masculino","Independiente","Sí","","","","",""
"Presidente(a)","Independiente","Alejandro","Guillier","Álvarez","Masculino","Independiente","Sí","","","","",""
